Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA50,MA200,Year,Month,Day,Day_of_Week,Prev_Close
2004-06-21,66.91992009092348,68.40702942627735,64.54054742350608,65.45140075683594,49328,0.0,0.0,53.5398583984375,38.36167344093323,2004,6,21,0,66.15780639648438
2004-06-22,65.43285489330604,65.61874368561658,63.573966970200765,63.927154541015625,20064,0.0,0.0,54.20831455230713,38.533713512420654,2004,6,22,1,65.45140075683594
2004-06-23,64.59633425367238,65.06105608283549,61.58493453154587,62.68168258666992,22912,0.0,0.0,54.83717601776123,38.701524543762204,2004,6,23,2,63.927154541015625
2004-06-24,63.19289302413975,64.31751787388264,61.919553746685786,63.72267150878906,21592,0.0,0.0,55.496151809692385,38.88457851409912,2004,6,24,3,62.68168258666992
2004-06-25,63.20218519398872,65.06107299381192,63.20218519398872,63.72267150878906,60280,0.0,0.0,56.147134399414064,39.06763248443603,2004,6,25,4,63.72267150878906
2004-06-28,64.83801111969426,67.84941194646873,64.83801111969426,66.80843353271484,100536,0.0,0.0,56.859832229614256,39.266440591812135,2004,6,28,0,63.72267150878906
2004-06-29,67.8493991127973,68.01669786644565,65.52578955413986,66.35299682617188,47952,0.0,0.0,57.565280227661134,39.46631752967834,2004,6,29,1,66.80843353271484
2004-06-30,66.17640454311426,67.10584842714675,64.68929432866224,64.87518310546875,20576,0.0,0.0,58.24117195129394,39.65513405799866,2004,6,30,2,66.35299682617188
2004-07-01,65.79528872917071,66.14847602311472,65.07961630523047,65.69304656982422,15168,0.0,0.0,58.93472217559815,39.84139447212219,2004,7,1,3,64.87518310546875
2004-07-02,66.54816992154124,69.15061232070767,66.54816992154124,67.98880767822266,123232,0.0,0.0,59.65913066864014,40.03299926757813,2004,7,2,4,65.69304656982422
2004-07-05,67.66350955774288,68.12823146404607,65.24695564496635,65.71167755126953,22040,0.0,0.0,60.337996559143065,40.204295835494996,2004,7,5,0,67.98880767822266
2004-07-06,65.5350563214357,66.91992935076024,65.5350563214357,66.33438110351562,39312,0.0,0.0,61.04623245239258,40.3792635345459,2004,7,6,1,65.71167755126953
2004-07-07,66.91994480600276,67.47761101271945,65.06105745028046,65.51648712158203,39640,0.0,0.0,61.74703311920166,40.55404543876648,2004,7,7,2,66.33438110351562
2004-07-08,65.06106519946162,66.94783495567107,62.26344166503465,62.78392791748047,80424,0.0,0.0,62.39597095489502,40.71502505302429,2004,7,8,3,65.51648712158203
2004-07-09,58.57353918999467,64.13161100958385,58.04375518186249,63.66688919067383,29280,0.0,0.0,63.06833038330078,40.88041947364807,2004,7,9,4,62.78392791748047
2004-07-12,64.13161849952449,65.59084631590017,63.20217475315458,64.912353515625,22272,0.0,0.0,63.76913101196289,41.041213254928586,2004,7,12,0,63.66688919067383
2004-07-13,65.99980725724838,67.10584773702251,65.43284876296933,65.68379974365234,48160,0.0,0.0,64.51194286346436,41.204191312789916,2004,7,13,1,64.912353515625
2004-07-14,66.91065958256574,68.77883929980243,66.08345235426962,67.37538146972656,74376,0.0,0.0,65.2885863494873,41.38338807106018,2004,7,14,2,65.68379974365234
2004-07-15,68.22116237894421,68.36987109045728,67.33819093126034,67.58914184570312,36024,0.0,0.0,64.91699485778808,41.56021471977234,2004,7,15,3,67.37538146972656
2004-07-16,69.68968347530236,71.00949458781825,68.79741984387196,69.87557220458984,167704,0.0,0.0,64.65154594421386,41.74944943428039,2004,7,16,4,67.58914184570312
2004-07-19,70.82360095913074,72.27353067812106,69.70826866056176,70.94442749023438,174480,0.0,0.0,64.41825553894043,41.94997685432434,2004,7,19,0,69.87557220458984
2004-07-20,71.38128768086817,73.05428661088851,70.4704338424321,72.2642593383789,157816,0.0,0.0,64.29742835998535,42.15910171508789,2004,7,20,1,70.94442749023438
2004-07-21,74.178902722609,74.178902722609,71.00950183398533,71.62293243408203,129968,0.0,0.0,64.26582710266113,42.365019941329955,2004,7,21,2,72.2642593383789
2004-07-22,72.49663215863345,72.49663215863345,71.01881392624936,71.25117492675781,64272,0.0,0.0,64.26582710266113,42.56522217750549,2004,7,22,3,71.62293243408203
2004-07-23,72.49662766791519,72.49662766791519,71.21399615913491,72.02261352539062,42576,0.0,0.0,64.38219367980957,42.768491668701174,2004,7,23,4,71.25117492675781
2004-07-26,72.12482606357793,72.40365915402991,71.47421551918998,72.07835388183594,29512,0.0,0.0,64.71530639648438,42.97650116920471,2004,7,26,0,72.02261352539062
2004-07-27,72.07835388183594,72.07835388183594,72.07835388183594,72.07835388183594,0,0.0,0.0,64.96662811279298,43.1874848651886,2004,7,27,1,72.07835388183594
2004-07-28,74.72727340669933,76.58616080487593,73.61194096779337,75.14552307128906,182768,0.0,0.0,65.19731643676758,43.40943603515625,2004,7,28,2,72.07835388183594
2004-07-29,75.47083366370899,75.81472899108651,73.61194613504621,74.5506820678711,93344,0.0,0.0,65.44640754699707,43.63315312385559,2004,7,29,3,75.14552307128906
2004-07-30,76.0284952894511,76.0284952894511,74.3554966156001,74.45773315429688,73272,0.0,0.0,65.73416305541993,43.85766021728516,2004,7,30,4,74.5506820678711
2004-08-02,74.21609313871647,74.91317604233622,74.16962094514182,74.37409973144531,99528,0.0,0.0,65.88938064575196,44.084165773391724,2004,8,2,0,74.45773315429688
2004-08-03,74.54139395145582,74.86669928665545,74.0116098424129,74.2811508178711,25104,0.0,0.0,66.09608894348145,44.31266948699951,2004,8,3,1,74.37409973144531
2004-08-04,70.63771893386021,74.48561799756482,70.63771893386021,74.31831359863281,43656,0.0,0.0,66.2927596282959,44.546192207336425,2004,8,4,2,74.2811508178711
2004-08-05,74.16961263437017,74.87598762840481,73.05428011355257,73.50041198730469,44048,0.0,0.0,66.46916831970215,44.77455652236939,2004,8,5,3,74.31831359863281
2004-08-06,73.07287493717548,74.28115191432354,72.49661862888372,72.5430908203125,32392,0.0,0.0,66.68349784851074,44.995950078964235,2004,8,6,4,73.50041198730469
2004-08-09,72.5059076538279,73.42605927336552,70.87938102435461,73.2215805053711,19040,0.0,0.0,66.96995239257812,45.21901662826538,2004,8,9,0,72.5430908203125
2004-08-10,75.26633933463009,75.37787369785758,73.14720912480138,75.24774932861328,50656,0.0,0.0,67.2835457611084,45.45741885185242,2004,8,10,1,73.2215805053711
2004-08-11,75.51730751964013,81.04749803953993,74.72728030251159,79.03990173339844,271960,0.0,0.0,67.67465591430664,45.7159436416626,2004,8,11,2,75.24774932861328
2004-08-12,79.03990173339844,79.03990173339844,79.03990173339844,79.03990173339844,0,0.0,0.0,68.08546997070313,45.97446843147278,2004,8,12,3,79.03990173339844
2004-08-13,81.79105488738122,83.09227621513502,78.07327966522753,79.46744537353516,119976,0.0,0.0,68.50799499511719,46.23145964622498,2004,8,13,4,79.03990173339844
2004-08-16,77.88736733962048,78.87257520627075,75.6845850523621,76.1400146484375,39776,0.0,0.0,68.85263229370118,46.47269664764404,2004,8,16,0,79.46744537353516
2004-08-17,77.32972491120178,78.71459845580472,75.8426148167556,76.14933013916016,74976,0.0,0.0,69.22348098754883,46.71458439826965,2004,8,17,1,76.1400146484375
2004-08-18,76.86495966093797,77.68286861707254,75.84257204755185,76.16787719726562,21432,0.0,0.0,69.55826583862304,46.95280066490173,2004,8,18,2,76.14933013916016
2004-08-19,76.95795568517737,77.60856642164626,76.67912251240499,77.37620544433594,19856,0.0,0.0,69.80847259521484,47.200683450698854,2004,8,19,3,76.16787719726562
2004-08-20,76.40028055596142,77.49702310819953,76.14003742586885,76.37239837646484,22184,0.0,0.0,69.94379943847656,47.443407697677614,2004,8,20,4,77.37620544433594
2004-08-23,72.58024573711823,81.60513992172727,72.58024573711823,79.56965637207031,108624,0.0,0.0,70.25107330322265,47.69919052124023,2004,8,23,0,76.37239837646484
2004-08-24,81.75388909953554,86.57770555926656,80.6757363665522,85.63896942138672,455456,0.0,0.0,70.67285568237304,47.98634230613708,2004,8,24,1,79.56965637207031
